start,end,duration,total_rain
2020-06-04 19:43:00,2020-06-04 22:22:00,174,219.99
2020-06-05 19:54:00,2020-06-06 01:25:00,346,113.293
2020-06-11 05:29:00,2020-06-11 06:47:00,93,26.648
2020-06-19 10:18:00,2020-06-19 13:14:00,191,36.697
2020-06-22 01:04:00,2020-06-22 03:26:00,157,46.67
2020-06-27 16:55:00,2020-06-27 17:35:00,55,43.332
2020-06-28 10:42:00,2020-06-28 11:41:00,74,10.02
2020-06-29 22:13:00,2020-06-30 01:12:00,194,106.666
2020-06-30 02:15:00,2020-06-30 03:05:00,65,43.331999999999994
2020-07-01 16:41:00,2020-07-01 17:44:00,78,50.0
2020-07-01 20:44:00,2020-07-01 23:16:00,167,63.34800000000001
2020-07-03 10:24:00,2020-07-03 12:02:00,113,46.679
2020-07-03 16:54:00,2020-07-03 18:00:00,81,13.341
