start,end,duration
2013-11-10 18:59:00,2013-11-12 00:04:00,1805.0
2013-11-13 02:28:00,2013-11-13 03:30:00,122.0
2013-11-13 17:14:00,2013-11-16 15:08:00,4254.0
2013-11-17 04:41:00,2013-11-18 10:06:00,1825.0
2013-11-20 01:19:00,2013-11-21 14:13:00,2274.0
2013-11-23 07:17:00,2013-11-27 02:21:00,5524.0
2013-11-27 15:41:00,2013-11-29 08:34:00,2513.0
2013-11-30 09:49:00,2013-12-04 06:17:00,5608.0
2013-12-04 21:12:00,2013-12-05 07:36:00,684.0
2013-12-06 14:13:00,2013-12-08 08:57:00,2624.0
2013-12-09 20:53:00,2013-12-13 05:11:00,4878.0
2013-12-14 07:10:00,2013-12-15 03:37:00,1287.0
2013-12-15 20:35:00,2013-12-16 04:49:00,554.0
2013-12-17 00:42:00,2013-12-17 03:37:00,235.0
2013-12-17 20:00:00,2013-12-18 17:57:00,1377.0
2013-12-20 03:17:00,2013-12-20 12:58:00,641.0
2013-12-23 17:31:00,2013-12-23 18:57:00,146.0
2013-12-25 21:19:00,2013-12-26 21:03:00,1484.0
2013-12-28 05:17:00,2013-12-30 21:44:00,3927.0
2013-12-31 11:37:00,2014-01-01 07:51:00,1274.0
2014-01-01 21:57:00,2014-01-02 04:34:00,457.0
2014-01-03 06:37:00,2014-01-03 11:43:00,366.0
2014-01-04 10:17:00,2014-01-06 05:23:00,2646.0
2014-01-07 14:28:00,2014-01-07 16:38:00,190.0
2014-01-08 06:37:00,2014-01-08 14:25:00,528.0
2014-01-10 16:15:00,2014-01-11 07:49:00,994.0
2014-01-12 09:11:00,2014-01-13 10:01:00,1550.0
2014-01-14 03:06:00,2014-01-14 04:52:00,166.0
2014-01-14 20:24:00,2014-01-16 01:22:00,1798.0
